team_1,team_2,score,manager_1,manager_2,season,game_week
Goiás EC,Atlético Paranaense,2:2 (2:0),Manager:   Geninho,Manager:   Vadão,2006,25
São Caetano,São Paulo FC,0:1 (0:0),Manager:   Hélio dos Anjos,Manager:   Muricy Ramalho,2006,25
Corinthians SP,Vasco da Gama,1:1 (0:1),Manager:   Émerson Leão,Manager:   Renato Gaúcho,2006,25
Santos FC,Fluminense RJ,1:1 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Antônio Lopes,2006,25
Flamengo RJ,Cruzeiro EC,1:0 (1:0),Manager:   Ney Franco,Manager:   Oswaldo de Oliveira,2006,25
Santa Cruz FC,SE Palmeiras,3:2 (1:0),Manager:   Mauricio Simões,Manager:   Tite,2006,25
Atlético Paranaense,São Caetano,3:1 (2:1),Manager:   Vadão,Manager:   Hélio dos Anjos,2006,26
Fluminense RJ,Fortaleza,1:3 (0:2),Manager:   Antônio Lopes,Manager:   Daniel Frasson,2006,26
Santa Cruz FC,Juventude RS,1:0 (0:0),Manager:   Mauricio Simões,Manager:   Ivo Wortmann,2006,26
Figueirense,Paraná Clube,0:1 (0:1),Manager:   Waldemar Lemos,Manager:   Caio Júnior,2006,26
SE Palmeiras,São Paulo FC,3:1 (1:1),Manager:   Jair Picerni,Manager:   Muricy Ramalho,2006,26
Santos FC,Flamengo RJ,3:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Ney Franco,2006,26
Internacional,Corinthians SP,1:1 (1:1),Manager:   Abel Braga,Manager:   Émerson Leão,2006,26
Ponte Preta,Cruzeiro EC,0:1 (0:0),Manager:   Marco Aurélio,Manager:   Oswaldo de Oliveira,2006,26
Vasco da Gama,Botafogo RJ,0:0,Manager:   Renato Gaúcho,Manager:   Cuca,2006,26
Goiás EC,Grêmio Porto Alegre,4:0 (2:0),Manager:   Geninho,Manager:   Mano Menezes,2006,26
Fortaleza,Figueirense,1:1 (0:1),Manager:   Daniel Frasson,Manager:   Waldemar Lemos,2006,27
Paraná Clube,Ponte Preta,2:1 (1:1),Manager:   Caio Júnior,Manager:   Marco Aurélio,2006,27
Juventude RS,Atlético Paranaense,3:2 (1:1),Manager:   Ivo Wortmann,Manager:   Vadão,2006,27
Flamengo RJ,Fluminense RJ,4:1 (1:1),Manager:   Ney Franco,Manager:   Gusmão,2006,27
São Caetano,Goiás EC,1:2 (1:0),Manager:   Hélio dos Anjos,Manager:   Geninho,2006,27
São Paulo FC,Vasco da Gama,5:1 (3:1),Manager:   Muricy Ramalho,Manager:   Renato Gaúcho,2006,27
Grêmio Porto Alegre,SE Palmeiras,2:1 (1:0),Manager:   Mano Menezes,Manager:   Jair Picerni,2006,27
Cruzeiro EC,Internacional,2:1 (1:1),Manager:   Oswaldo de Oliveira,Manager:   Abel Braga,2006,27
Corinthians SP,Santos FC,0:3 (0:1),Manager:   Émerson Leão,Manager:   Vanderlei Luxemburgo,2006,27
Botafogo RJ,Santa Cruz FC,3:0 (1:0),Manager:   Cuca,Manager:   Mauricio Simões,2006,27
Ponte Preta,Juventude RS,3:1 (1:1),Manager:   Vanderlei Paiva,Manager:   Ivo Wortmann,2006,28
Vasco da Gama,Fortaleza,2:0 (2:0),Manager:   Renato Gaúcho,Manager:   Daniel Frasson,2006,28
Fluminense RJ,São Paulo FC,1:2 (1:2),Manager:   Gusmão,Manager:   Muricy Ramalho,2006,28
Atlético Paranaense,Cruzeiro EC,1:1 (1:0),Manager:   Vadão,Manager:   Oswaldo de Oliveira,2006,28
Internacional,São Caetano,1:0 (0:0),Manager:   Abel Braga,Manager:   Hélio dos Anjos,2006,28
SE Palmeiras,Flamengo RJ,3:1 (1:0),Manager:   Jair Picerni,Manager:   Ney Franco,2006,28
Santa Cruz FC,Paraná Clube,1:3 (0:1),Manager:   Mauricio Simões,Manager:   Caio Júnior,2006,28
Goiás EC,Corinthians SP,3:1 (1:1),Manager:   Geninho,Manager:   Émerson Leão,2006,28
Santos FC,Grêmio Porto Alegre,1:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Mano Menezes,2006,28
Figueirense,Botafogo RJ,1:0 (0:0),Manager:   Waldemar Lemos,Manager:   Cuca,2006,28
Cruzeiro EC,Fortaleza,0:0,Manager:   Oswaldo de Oliveira,Manager:   Daniel Frasson,2006,29
São Caetano,Grêmio Porto Alegre,0:2 (0:1),Manager:   Hélio dos Anjos,Manager:   Mano Menezes,2006,29
São Paulo FC,Juventude RS,5:0 (3:0),Manager:   Muricy Ramalho,Manager:   Ivo Wortmann,2006,29
Botafogo RJ,Santos FC,4:3 (2:1),Manager:   Cuca,Manager:   Vanderlei Luxemburgo,2006,29
Internacional,Fluminense RJ,2:0 (1:0),Manager:   Abel Braga,Manager:   Gusmão,2006,29
Flamengo RJ,Corinthians SP,3:0 (2:0),Manager:   Ney Franco,Manager:   Émerson Leão,2006,29
Figueirense,Ponte Preta,2:1 (1:0),Manager:   Waldemar Lemos,Manager:   Vanderlei Paiva,2006,29
Paraná Clube,Goiás EC,1:0 (0:0),Manager:   Caio Júnior,Manager:   Geninho,2006,29
SE Palmeiras,Atlético Paranaense,2:2 (0:1),Manager:   Jair Picerni,Manager:   Vadão,2006,29
Santa Cruz FC,Vasco da Gama,0:4 (0:1),Manager:   Mauricio Simões,Manager:   Renato Gaúcho,2006,29
Vasco da Gama,SE Palmeiras,3:0 (0:0),Manager:   Renato Gaúcho,Manager:   Jair Picerni,2006,30
Goiás EC,Santa Cruz FC,5:3 (4:2),Manager:   Geninho,Manager:   Mauricio Simões,2006,30
Ponte Preta,Internacional,0:2 (0:2),Manager:   Vanderlei Paiva,Manager:   Abel Braga,2006,30
Santos FC,Figueirense,2:1 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Waldemar Lemos,2006,30
Fortaleza,Atlético Paranaense,3:4 (1:1),Manager:   Daniel Frasson,Manager:   Vadão,2006,30
Grêmio Porto Alegre,São Paulo FC,1:1 (0:1),Manager:   Mano Menezes,Manager:   Muricy Ramalho,2006,30
Paraná Clube,Flamengo RJ,0:2 (0:1),Manager:   Caio Júnior,Manager:   Ney Franco,2006,30
Juventude RS,Fluminense RJ,1:1 (0:1),Manager:   Ivo Wortmann,Manager:   Gusmão,2006,30
Botafogo RJ,São Caetano,2:1 (1:1),Manager:   Cuca,Manager:   Dorival Júnior,2006,30
Corinthians SP,Cruzeiro EC,1:0 (1:0),Manager:   Émerson Leão,Manager:   Oswaldo de Oliveira,2006,30
Corinthians SP,SE Palmeiras,1:0 (0:0),Manager:   Émerson Leão,Manager:   Jair Picerni,2006,31
Fluminense RJ,Grêmio Porto Alegre,1:2 (0:1),Manager:   Gusmão,Manager:   Mano Menezes,2006,31
Vasco da Gama,Flamengo RJ,3:1 (1:1),Manager:   Renato Gaúcho,Manager:   Ney Franco,2006,31
Internacional,Juventude RS,1:0 (0:0),Manager:   Abel Braga,Manager:   Ivo Wortmann,2006,31
Santa Cruz FC,Fortaleza,0:1 (0:1),Manager:   Mauricio Simões,Manager:   Daniel Frasson,2006,31
Ponte Preta,Botafogo RJ,1:2 (1:2),Manager:   Vanderlei Paiva,Manager:   Cuca,2006,31
Figueirense,São Paulo FC,0:2 (0:2),Manager:   Waldemar Lemos,Manager:   Muricy Ramalho,2006,31
Atlético Paranaense,Paraná Clube,4:0 (2:0),Manager:   Vadão,Manager:   Caio Júnior,2006,31
Santos FC,São Caetano,1:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Dorival Júnior,2006,31
Goiás EC,Cruzeiro EC,2:3 (2:3),Manager:   Geninho,Manager:   Oswaldo de Oliveira,2006,31
Atlético Paranaense,Vasco da Gama,6:4 (1:2),Manager:   Vadão,Manager:   Renato Gaúcho,2006,32
Flamengo RJ,Santa Cruz FC,1:1 (0:0),Manager:   Ney Franco,Manager:   Mauricio Simões,2006,32
SE Palmeiras,Goiás EC,1:3 (0:1),Manager:   Jair Picerni,Manager:   Geninho,2006,32
Grêmio Porto Alegre,Figueirense,1:2 (1:2),Manager:   Mano Menezes,Manager:   Waldemar Lemos,2006,32
Fortaleza,Corinthians SP,0:4 (0:1),Manager:   Daniel Frasson,Manager:   Émerson Leão,2006,32
São Caetano,Fluminense RJ,1:1 (1:1),Manager:   Dorival Júnior,Manager:   Gusmão,2006,32
Juventude RS,Santos FC,3:2 (1:1),Manager:   Ivo Wortmann,Manager:   Vanderlei Luxemburgo,2006,32
Cruzeiro EC,Paraná Clube,2:2 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Caio Júnior,2006,32
São Paulo FC,Ponte Preta,1:1 (0:0),Manager:   Muricy Ramalho,Manager:   Vanderlei Paiva,2006,32
Botafogo RJ,Internacional,0:1 (0:0),Manager:   Cuca,Manager:   Abel Braga,2006,32
Figueirense,Juventude RS,1:0 (0:0),Manager:   Waldemar Lemos,Manager:   Ivo Wortmann,2006,33
Flamengo RJ,Atlético Paranaense,1:0 (0:0),Manager:   Ney Franco,Manager:   Vadão,2006,33
Ponte Preta,São Caetano,1:2 (1:1),Manager:   Vanderlei Paiva,Manager:   Dorival Júnior,2006,33
Cruzeiro EC,Vasco da Gama,2:1 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Renato Gaúcho,2006,33
Santos FC,São Paulo FC,0:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Muricy Ramalho,2006,33
Grêmio Porto Alegre,Internacional,0:1 (0:0),Manager:   Mano Menezes,Manager:   Abel Braga,2006,33
Fortaleza,Goiás EC,0:3 (0:1),Manager:   Daniel Frasson,Manager:   Geninho,2006,33
Paraná Clube,SE Palmeiras,4:2 (1:1),Manager:   Caio Júnior,Manager:   Jair Picerni,2006,33
Corinthians SP,Santa Cruz FC,1:0 (1:0),Manager:   Émerson Leão,Manager:   Mauricio Simões,2006,33
Botafogo RJ,Fluminense RJ,2:1 (0:0),Manager:   Cuca,Manager:   Gusmão,2006,33
Juventude RS,Grêmio Porto Alegre,1:2 (0:1),Manager:   Ivo Wortmann,Manager:   Mano Menezes,2006,34
São Caetano,Figueirense,3:1 (2:0),Manager:   Dorival Júnior,Manager:   Waldemar Lemos,2006,34
Vasco da Gama,Paraná Clube,3:1 (2:0),Manager:   Renato Gaúcho,Manager:   Caio Júnior,2006,34
SE Palmeiras,Fortaleza,3:0 (1:0),Manager:   Jair Picerni,Manager:   Daniel Frasson,2006,34
Goiás EC,Flamengo RJ,0:1 (0:1),Manager:   Geninho,Manager:   Ney Franco,2006,34
Atlético Paranaense,Corinthians SP,1:2 (1:1),Manager:   Vadão,Manager:   Émerson Leão,2006,34
Internacional,Santos FC,0:0,Manager:   Abel Braga,Manager:   Vanderlei Luxemburgo,2006,34
São Paulo FC,Botafogo RJ,3:0 (1:0),Manager:   Muricy Ramalho,Manager:   Cuca,2006,34
Fluminense RJ,Ponte Preta,0:0,Manager:   Gusmão,Manager:   Vanderlei Paiva,2006,34
Santa Cruz FC,Cruzeiro EC,4:1 (1:0),Manager:   Mauricio Simões,Manager:   Oswaldo de Oliveira,2006,34
Vasco da Gama,Juventude RS,1:1 (1:0),Manager:   Renato Gaúcho,Manager:   Ivo Wortmann,2006,35
Internacional,Fortaleza,3:0 (2:0),Manager:   Abel Braga,Manager:   Daniel Frasson,2006,35
Santos FC,Paraná Clube,1:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Caio Júnior,2006,35
Ponte Preta,Flamengo RJ,3:0 (1:0),Manager:   Vanderlei Paiva,Manager:   Ney Franco,2006,35
Figueirense,Corinthians SP,0:0,Manager:   Waldemar Lemos,Manager:   Émerson Leão,2006,35
Fluminense RJ,Cruzeiro EC,1:0 (1:0),Manager:   Gusmão,Manager:   Oswaldo de Oliveira,2006,35
Goiás EC,São Paulo FC,0:2 (0:2),Manager:   Geninho,Manager:   Muricy Ramalho,2006,35
Santa Cruz FC,São Caetano,0:3 (0:0),Manager:   Mauricio Simões,Manager:   Dorival Júnior,2006,35
SE Palmeiras,Botafogo RJ,2:1 (1:0),Manager:   Jair Picerni,Manager:   Cuca,2006,35
Atlético Paranaense,Grêmio Porto Alegre,2:3 (1:1),Manager:   Vadão,Manager:   Mano Menezes,2006,35
Grêmio Porto Alegre,Santa Cruz FC,3:1 (3:0),Manager:   Mano Menezes,Manager:   Mauricio Simões,2006,36
Flamengo RJ,Figueirense,0:2 (0:1),Manager:   Ney Franco,Manager:   Waldemar Lemos,2006,36
Corinthians SP,Fluminense RJ,1:1 (1:1),Manager:   Émerson Leão,Manager:   Gusmão,2006,36
São Caetano,Vasco da Gama,0:1 (0:1),Manager:   Dorival Júnior,Manager:   Renato Gaúcho,2006,36
Paraná Clube,Internacional,1:0 (0:0),Manager:   Caio Júnior,Manager:   Abel Braga,2006,36
São Paulo FC,Atlético Paranaense,1:1 (1:0),Manager:   Muricy Ramalho,Manager:   Vadão,2006,36
Juventude RS,SE Palmeiras,3:2 (1:1),Manager:   Ivo Wortmann,Manager:   Jair Picerni,2006,36
Fortaleza,Ponte Preta,1:0 (0:0),Manager:   Daniel Frasson,Manager:   Vanderlei Paiva,2006,36
Botafogo RJ,Goiás EC,2:2 (0:0),Manager:   Cuca,Manager:   Geninho,2006,36
Cruzeiro EC,Santos FC,1:1 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Vanderlei Luxemburgo,2006,36
Goiás EC,Ponte Preta,3:0 (0:0),Manager:   Geninho,Manager:   Vanderlei Paiva,2006,37
Grêmio Porto Alegre,Flamengo RJ,3:0 (0:0),Manager:   Mano Menezes,Manager:   Ney Franco,2006,37
Santa Cruz FC,Fluminense RJ,1:2 (1:0),Manager:   Mauricio Simões,Manager:   Gusmão,2006,37
Vasco da Gama,Santos FC,1:1 (1:1),Manager:   Renato Gaúcho,Manager:   Vanderlei Luxemburgo,2006,37
São Paulo FC,Cruzeiro EC,2:0 (0:0),Manager:   Muricy Ramalho,Manager:   Oswaldo de Oliveira,2006,37
Juventude RS,Fortaleza,2:2 (1:1),Manager:   Ivo Wortmann,Manager:   Daniel Frasson,2006,37
Atlético Paranaense,Figueirense,1:4 (0:1),Manager:   Vadão,Manager:   Waldemar Lemos,2006,37
São Caetano,Paraná Clube,0:2 (0:1),Manager:   Dorival Júnior,Manager:   Caio Júnior,2006,37
SE Palmeiras,Internacional,1:4 (0:4),Manager:   Jair Picerni,Manager:   Abel Braga,2006,37
Botafogo RJ,Corinthians SP,0:0,Manager:   Cuca,Manager:   Émerson Leão,2006,37
Internacional,Goiás EC,1:4 (0:2),Manager:   Abel Braga,Manager:   Geninho,2006,38
Flamengo RJ,São Caetano,4:1 (0:1),Manager:   Ney Franco,Manager:   Dorival Júnior,2006,38
Fluminense RJ,SE Palmeiras,1:1 (1:1),Manager:   Gusmão,Manager:   Jair Picerni,2006,38
Cruzeiro EC,Botafogo RJ,3:1 (1:1),Manager:   Oswaldo de Oliveira,Manager:   Cuca,2006,38
Corinthians SP,Juventude RS,5:3 (3:2),Manager:   Émerson Leão,Manager:   Ivo Wortmann,2006,38
Paraná Clube,São Paulo FC,0:0,Manager:   Caio Júnior,Manager:   Muricy Ramalho,2006,38
Ponte Preta,Atlético Paranaense,1:1 (0:0),Manager:   Vanderlei Paiva,Manager:   Vadão,2006,38
Figueirense,Vasco da Gama,0:0,Manager:   Waldemar Lemos,Manager:   Renato Gaúcho,2006,38
Fortaleza,Grêmio Porto Alegre,1:0 (1:0),Manager:   Daniel Frasson,Manager:   Mano Menezes,2006,38
Santos FC,Santa Cruz FC,3:1 (1:1),Manager:   Vanderlei Luxemburgo,Manager:   Mauricio Simões,2006,38
Figueirense,Atlético Paranaense,3:6 (1:3),Manager:   Mário Sérgio,Manager:   Vadão,2007,1
Fluminense RJ,Cruzeiro EC,2:2 (1:2),Manager:   Renato Gaúcho,Manager:   Dorival Júnior,2007,1
São Paulo FC,Goiás EC,2:0 (2:0),Manager:   Muricy Ramalho,Manager:   Paulo Bonamigo,2007,1
Atlético Mineiro,Clube Náutico,2:1 (1:1),Manager:  ???,Manager:   Gusmão,2007,1
Flamengo RJ,SE Palmeiras,2:4 (1:2),Manager:   Ney Franco,Manager:   Caio Júnior,2007,1
Internacional,Botafogo RJ,2:3 (1:1),Manager:   Alexandre Gallo,Manager:   Cuca,2007,1
Paraná Clube,Grêmio Porto Alegre,3:0 (1:0),Manager:   Zetti,Manager:   Mano Menezes,2007,1
América RN,Vasco da Gama,0:1 (0:0),Manager:   Lori Sandri,Manager:   Celso Roth,2007,1
Corinthians SP,Juventude RS,1:0 (1:0),Manager:   Paulo César Carpegiani,Manager:   Ivo Wortmann,2007,1
Sport Club Recife,Santos FC,4:1 (3:1),Manager:   Giba,Manager:   Vanderlei Luxemburgo,2007,1
Atlético Paranaense,Internacional,2:1 (1:1),Manager:   Vadão,Manager:   Alexandre Gallo,2007,2
Juventude RS,Paraná Clube,1:2 (0:0),Manager:   Flávio Campos,Manager:   Zetti,2007,2
Santos FC,América RN,2:3 (1:1),Manager:   Vanderlei Luxemburgo,Manager:   Lori Sandri,2007,2
Botafogo RJ,Atlético Mineiro,2:1 (1:0),Manager:   Cuca,Manager:  ???,2007,2
Cruzeiro EC,Corinthians SP,0:3 (0:1),Manager:   Dorival Júnior,Manager:   Paulo César Carpegiani,2007,2
Goiás EC,Flamengo RJ,1:3 (0:1),Manager:   Paulo Bonamigo,Manager:   Ney Franco,2007,2
SE Palmeiras,Figueirense,2:1 (2:0),Manager:   Caio Júnior,Manager:   Mário Sérgio,2007,2
Grêmio Porto Alegre,Fluminense RJ,2:0 (1:0),Manager:   Mano Menezes,Manager:   Renato Gaúcho,2007,2
Clube Náutico,São Paulo FC,1:0 (0:0),Manager:   Gusmão,Manager:   Muricy Ramalho,2007,2
Vasco da Gama,Sport Club Recife,3:1 (2:0),Manager:   Celso Roth,Manager:   Giba,2007,2
América RN,Figueirense,0:1 (0:1),Manager:   Lori Sandri,Manager:   Mário Sérgio,2007,3
Corinthians SP,Atlético Mineiro,0:0 (0:0),Manager:   Paulo César Carpegiani,Manager:  ???,2007,3
Fluminense RJ,Internacional,3:0 (1:0),Manager:   Renato Gaúcho,Manager:   Alexandre Gallo,2007,3
Atlético Paranaense,Santos FC,0:1 (0:1),Manager:   Vadão,Manager:   Vanderlei Luxemburgo,2007,3
Grêmio Porto Alegre,Sport Club Recife,1:0 (1:0),Manager:   Mano Menezes,Manager:   Giba,2007,3
Clube Náutico,Vasco da Gama,2:2 (0:1),Manager:   Gusmão,Manager:   Celso Roth,2007,3
São Paulo FC,SE Palmeiras,0:0 (0:0),Manager:   Muricy Ramalho,Manager:   Caio Júnior,2007,3
Cruzeiro EC,Paraná Clube,3:4 (1:1),Manager:   Dorival Júnior,Manager:   Zetti,2007,3
Flamengo RJ,Botafogo RJ,2:2 (1:2),Manager:   Ney Franco,Manager:   Cuca,2007,3
Goiás EC,Juventude RS,3:1 (1:0),Manager:   Paulo Bonamigo,Manager:   Flávio Campos,2007,3
Atlético Mineiro,Atlético Paranaense,1:1 (0:0),Manager:  ???,Manager:   Vadão,2007,4
Botafogo RJ,Grêmio Porto Alegre,3:0 (1:0),Manager:   Cuca,Manager:   Mano Menezes,2007,4
Figueirense,Goiás EC,2:1 (0:1),Manager:   Mário Sérgio,Manager:   Paulo Bonamigo,2007,4
Juventude RS,América RN,3:0 (1:0),Manager:   Flávio Campos,Manager:   Lori Sandri,2007,4
SE Palmeiras,Cruzeiro EC,1:3 (1:2),Manager:   Caio Júnior,Manager:   Dorival Júnior,2007,4
Santos FC,Corinthians SP,1:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Paulo César Carpegiani,2007,4
Sport Club Recife,Flamengo RJ,2:2 (1:1),Manager:   Giba,Manager:   Ney Franco,2007,4
Paraná Clube,São Paulo FC,0:1 (0:0),Manager:   Zetti,Manager:   Muricy Ramalho,2007,4
Vasco da Gama,Fluminense RJ,1:1 (1:1),Manager:   Celso Roth,Manager:   Renato Gaúcho,2007,4
Internacional,Clube Náutico,2:0 (2:0),Manager:   Alexandre Gallo,Manager:   Gusmão,2007,4
Clube Náutico,Paraná Clube,4:4 (1:3),Manager:   Gusmão,Manager:   Zetti,2007,5
SE Palmeiras,Botafogo RJ,1:1 (1:0),Manager:   Caio Júnior,Manager:   Cuca,2007,5
Vasco da Gama,Grêmio Porto Alegre,4:0 (3:0),Manager:   Celso Roth,Manager:   Mano Menezes,2007,5
América RN,Corinthians SP,1:2 (1:0),Manager:   Lori Sandri,Manager:   Paulo César Carpegiani,2007,5
Atlético Paranaense,Goiás EC,0:3 (0:2),Manager:   Vadão,Manager:   Paulo Bonamigo,2007,5
Figueirense,Flamengo RJ,4:0 (3:0),Manager:   Mário Sérgio,Manager:   Ney Franco,2007,5
Fluminense RJ,Sport Club Recife,3:0 (1:0),Manager:   Renato Gaúcho,Manager:   Giba,2007,5
Cruzeiro EC,Juventude RS,2:3 (1:2),Manager:   Dorival Júnior,Manager:   Flávio Campos,2007,5
Internacional,Santos FC,1:0 (1:0),Manager:   Alexandre Gallo,Manager:   Vanderlei Luxemburgo,2007,5
São Paulo FC,Atlético Mineiro,0:1 (0:0),Manager:   Muricy Ramalho,Manager:  ???,2007,5
Corinthians SP,Paraná Clube,0:0 (0:0),Manager:   Paulo César Carpegiani,Manager:   Zetti,2007,6
Flamengo RJ,Internacional,2:2 (0:0),Manager:   Ney Franco,Manager:   Alexandre Gallo,2007,6
Grêmio Porto Alegre,Cruzeiro EC,0:2 (0:1),Manager:   Mano Menezes,Manager:   Dorival Júnior,2007,6
Atlético Mineiro,Figueirense,4:1 (3:0),Manager:  ???,Manager:   Mário Sérgio,2007,6
Atlético Paranaense,Fluminense RJ,1:1 (1:0),Manager:   Antônio Lopes,Manager:   Renato Gaúcho,2007,6
Goiás EC,SE Palmeiras,3:1 (2:0),Manager:   Paulo Bonamigo,Manager:   Caio Júnior,2007,6
São Paulo FC,Vasco da Gama,2:0 (2:0),Manager:   Muricy Ramalho,Manager:   Celso Roth,2007,6
Botafogo RJ,Clube Náutico,3:1 (1:0),Manager:   Cuca,Manager:   Gusmão,2007,6
Juventude RS,Santos FC,0:2 (0:2),Manager:   Flávio Campos,Manager:   Vanderlei Luxemburgo,2007,6
Sport Club Recife,América RN,2:2 (1:2),Manager:  ???,Manager:   Lori Sandri,2007,6
Juventude RS,Figueirense,1:1 (0:1),Manager:   Flávio Campos,Manager:   Mário Sérgio,2007,7
Paraná Clube,Sport Club Recife,1:0 (1:0),Manager:   Zetti,Manager:   Geninho,2007,7
América RN,Fluminense RJ,0:1 (0:1),Manager:   Lori Sandri,Manager:   Renato Gaúcho,2007,7
Cruzeiro EC,Atlético Mineiro,4:2 (2:0),Manager:   Dorival Júnior,Manager:  ???,2007,7
SE Palmeiras,Atlético Paranaense,0:2 (0:1),Manager:   Caio Júnior,Manager:   Antônio Lopes,2007,7
Santos FC,São Paulo FC,0:2 (0:2),Manager:   Vanderlei Luxemburgo,Manager:   Muricy Ramalho,2007,7
Internacional,Grêmio Porto Alegre,0:2 (0:1),Manager:   Alexandre Gallo,Manager:   Mano Menezes,2007,7
Clube Náutico,Goiás EC,0:2 (0:0),Manager:   Gusmão,Manager:   Paulo Bonamigo,2007,7
Botafogo RJ,Corinthians SP,2:3 (1:1),Manager:   Cuca,Manager:   Paulo César Carpegiani,2007,7
Vasco da Gama,Flamengo RJ,1:2 (1:2),Manager:   Celso Roth,Manager:   Joel Santana,2007,7
Figueirense,São Paulo FC,0:0 (0:0),Manager:   Mário Sérgio,Manager:   Muricy Ramalho,2007,8
Sport Club Recife,Clube Náutico,4:1 (2:0),Manager:   Geninho,Manager:   Gusmão,2007,8
América RN,Goiás EC,0:3 (0:1),Manager:   Lori Sandri,Manager:   Paulo Bonamigo,2007,8
Cruzeiro EC,Vasco da Gama,3:1 (1:1),Manager:   Dorival Júnior,Manager:   Celso Roth,2007,8
Santos FC,Grêmio Porto Alegre,0:0 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Mano Menezes,2007,8
Corinthians SP,SE Palmeiras,0:1 (0:1),Manager:   Paulo César Carpegiani,Manager:   Caio Júnior,2007,8
Fluminense RJ,Botafogo RJ,1:2 (1:0),Manager:   Renato Gaúcho,Manager:   Cuca,2007,8
Internacional,Atlético Mineiro,1:1 (0:1),Manager:   Alexandre Gallo,Manager:  ???,2007,8
Paraná Clube,Atlético Paranaense,2:2 (2:1),Manager:   Zetti,Manager:   Antônio Lopes,2007,8
Flamengo RJ,Juventude RS,4:0 (1:0),Manager:   Joel Santana,Manager:   Flávio Campos,2007,8
SE Palmeiras,América RN,2:0 (2:0),Manager:   Caio Júnior,Manager:   Lori Sandri,2007,9
Atlético Paranaense,Clube Náutico,1:1 (0:1),Manager:   Antônio Lopes,Manager:   Roberto Fernandes,2007,9
Figueirense,Cruzeiro EC,2:1 (1:1),Manager:   Mário Sérgio,Manager:   Dorival Júnior,2007,9
Fluminense RJ,Paraná Clube,0:0 (0:0),Manager:   Renato Gaúcho,Manager:   Zetti,2007,9
Grêmio Porto Alegre,Juventude RS,3:1 (1:0),Manager:   Mano Menezes,Manager:   Flávio Campos,2007,9
São Paulo FC,Internacional,1:0 (0:0),Manager:   Muricy Ramalho,Manager:   Alexandre Gallo,2007,9
Goiás EC,Botafogo RJ,1:1 (1:0),Manager:   Paulo Bonamigo,Manager:   Cuca,2007,9
Atlético Mineiro,Flamengo RJ,1:1 (0:0),Manager:  ???,Manager:   Ney Franco,2007,9
Sport Club Recife,Corinthians SP,2:1 (0:0),Manager:   Geninho,Manager:   Paulo César Carpegiani,2007,9
Vasco da Gama,Santos FC,4:0 (1:0),Manager:   Celso Roth,Manager:   Vanderlei Luxemburgo,2007,9
Paraná Clube,América RN,0:1 (0:0),Manager:   Zetti,Manager:   Lori Sandri,2007,10
Atlético Mineiro,Grêmio Porto Alegre,0:1 (0:0),Manager:  ???,Manager:   Mano Menezes,2007,10
Corinthians SP,Fluminense RJ,1:1 (0:1),Manager:   Paulo César Carpegiani,Manager:   Renato Gaúcho,2007,10
Santos FC,Cruzeiro EC,4:1 (3:1),Manager:   Vanderlei Luxemburgo,Manager:   Dorival Júnior,2007,10
Botafogo RJ,Atlético Paranaense,2:0 (1:0),Manager:   Cuca,Manager:   Antônio Lopes,2007,10
Goiás EC,Sport Club Recife,3:2 (0:1),Manager:   Paulo Bonamigo,Manager:   Geninho,2007,10
Internacional,Figueirense,2:1 (1:0),Manager:   Alexandre Gallo,Manager:   Mário Sérgio,2007,10
Juventude RS,Vasco da Gama,2:0 (0:0),Manager:   Flávio Campos,Manager:   Celso Roth,2007,10
Clube Náutico,SE Palmeiras,0:1 (0:0),Manager:   Roberto Fernandes,Manager:   Caio Júnior,2007,10
Flamengo RJ,São Paulo FC,1:0 (0:0),Manager:   Joel Santana,Manager:   Muricy Ramalho,2007,10
Juventude RS,Clube Náutico,1:1 (0:0),Manager:   Flávio Campos,Manager:   Roberto Fernandes,2007,11
Paraná Clube,Figueirense,1:2 (0:2),Manager:   Zetti,Manager:   Mário Sérgio,2007,11
Vasco da Gama,Atlético Paranaense,1:0 (0:0),Manager:   Celso Roth,Manager:   Antônio Lopes,2007,11
